Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Japan,40063,167.18,8,0.3,1,0.92,8.13,60,0.24,0.02,0.1,0.36,0.01,2.5,11,15646,96,32.9,4504,12.2,1.36,33.3,4.3,0.92,48.6,72.1,30,-0.23,84.67,45.9,38,,29.3,3.6,0.3,72.06,776.66,139078,2800,11.15
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,129,,,,,,,,,
Jordan,4405,67.35,0.7,1.4,,0.73,3.62,,0.96,0.06,97.2,0,,15.6,,5408,83,33.7,738,2,2.69,,35.5,0.65,23.5,66.5,,2.17,77.9,29.8,198,87.7,23.8,3.6,0,77.68,263.61,511,3000,18.3
Kazakhstan,9793,56.12,7.7,5.1,,0.83,3.14,,0.53,0.26,70.2,0,0.02,10.5,14,887,91,27.5,784,18.1,2.9,33.2,21,0.76,31.6,65.4,88686,1.13,74,44.8,157,99.5,24.3,2.8,0.6,288.12,129.21,1226,3510,6.4
Kiribati,1657,,0.4,,,0.63,,,,,0.1,,,50.9,,1880,8,,278,30.6,3.53,67.9,46,0.15,25.7,47.3,,1.71,59.4,32.1,113,,20.1,12,,10.93,8.63,,2820,28.2
Kenya,1817,,3.4,4.9,,0.6,5.05,,0.94,0.85,11.2,0,0,43.2,8,755,26,40.8,179,11,3.42,18.7,7.1,0.17,20,55.1,,2.49,66.1,14.3,81,54,20.2,5.2,73.3,94.86,24.26,300,2030,24.75
North Korea,640,,3.9,,,,1.08,,,0.02,0.1,0.02,,17.3,14,,18,,,8.2,1.9,21.7,6.8,,34.6,5.9,,0.47,72.6,10.8,,100,25.5,,,3.79,3.41,,2110,5.7
South Korea,32143,241.58,10.2,0.6,2.8,0.92,8.01,69,0.43,0.28,0.1,0.23,0,3.2,12,18695,33,31.6,3214,21.2,0.86,35,4.7,,43.2,72.3,,0.36,83.06,48,105,,30.4,5.1,2,29.05,1297.12,63476,3040,11.5
Kosovo,4473,54.39,,2.4,,,,,,,95.6,,,,14,2330,37,29,,,1.97,,,,30.5,67,,,,,103,,,,,,155.99,,,
Kurdistan Region (Iraq),,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,31999,130.66,0,1.8,,0.81,3.8,,0.91,0.15,74.6,0.03,,7.9,7,2372,51,,3669,2.7,2.08,26.3,37.9,0.98,29.7,60.8,721575,1.78,81,60.2,117,69.5,27.5,3.8,,157.66,242.67,196,3030,25.35
Kyrgyzstan,1318,48.12,6.2,2.2,,0.7,4.21,,0.72,0.14,85,0,0,18.3,14,196,112,27.7,260,8.3,3.3,31.7,16.6,0.37,27.3,62.3,169,1.44,74.2,39,161,92.5,21.8,6.1,,210.92,21.73,1455,2660,1.55
Laos,2625,43.98,10.4,,,0.61,1.77,,0.97,0.02,0.1,0.66,,45.5,15,1869,53,36.4,167,6,2.63,61.1,5.3,0.25,24,57.4,,1.45,68.5,15,130,58.6,20.5,2.9,,2.92,12.32,88,2240,22.8
Latvia,17885,128.69,12.9,4.4,,0.87,7.24,40,0.39,0.75,0.15,0,0.03,3.6,14,6853,126,35.6,1896,16.1,1.61,40.5,23.6,0.82,44.4,70.4,,-1.03,75.4,45.7,175,99.9,28.2,4.7,35.3,174.11,735.3,2910,2990,5.6
Lebanon,7784,,1.5,2.5,,0.74,4.16,,0.87,39.5,57.7,0,,7.2,,5212,63,31.8,1086,2.8,2.08,44.1,32,0.69,33.7,51.1,,0.57,76.4,63.1,205,60.2,28.8,2.5,,114.52,258.91,3686,3090,16.4
Lesotho,1158,,5,43.6,,0.53,6.3,,,0.9,0.1,0,,86.4,,978,53,44.9,309,87.5,3.11,23.5,16.6,0.32,24.7,53.1,,1.31,50.7,15.4,92,51.4,20.9,6.5,,25.35,9.01,,2460,11.85
Liberia,523,,5.8,3.3,,0.48,5.32,,0.94,0.86,20,0,,84.6,,774,51,35.3,12643,7.4,4.25,14.2,9.9,0.08,18,49.7,,2.52,64.1,7.9,54,32.8,18.9,2.3,,3.04,5.19,,2200,25.3
Libya,4810,,0,,,0.72,1.95,,,0.03,97,0,,11.5,14,3863,9,,,4.5,2.21,,32.5,0.21,25.8,,159383,1.33,75.8,28.6,139,24.2,29.2,2.3,405,75,24.26,26,3150,21.8
Liechtenstein,179258,193.79,,2.6,,0.92,,,,0.84,5.4,0,,,14,,0,,,,1.58,,,0.98,43.7,,,0.65,,,23,,29.8,2.1,0,,791.35,,,5.65
Lithuania,19795,132.67,15,4.6,,0.88,7.13,55,0.42,0.84,0.1,0,0.02,3.7,14,8054,74,37.3,2313,20.2,1.61,36.3,26.3,0.8,44.5,74.2,689,-0.55,76,49.5,216,99.8,27.3,4,14.1,295.46,809.28,3075,3430,6.2
Luxembourg,115481,154.26,13,0.3,,0.92,8.68,50,0.39,0.72,2.3,0,0,2.8,18,28438,22.1,34.9,6048,8.6,1.34,29.5,22.6,0.95,39.5,75.9,,1.27,82.4,141.7,83,,31.1,4,37.5,255.3,1438.16,2000,3680,8.65
Macau,84097,170.3,,0.3,,,,,,,0.1,0.17,,,,9897,,,,,1.2,,,0.82,40.8,71,,,,,232,81.2,,2.7,,37.46,,,,
Macedonia,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,,,,,,,3060,
Madagascar,523,41.4,1.9,,,0.53,5.7,,0.93,0.85,10,0,0,50.6,,397,41,42.6,79,9.2,4.03,44,5.3,0.1,20.3,56.6,,2.67,65.3,17.6,102,49.4,18.4,2.8,,24.84,4.84,119,2130,22.65
Malawi,435,,3.7,1.8,,0.48,5.74,,0.99,0.82,20,0,,41.6,,288,39,44.7,120,10.6,4.13,25.8,5.8,0.14,16.8,51.4,,2.87,65.6,5.1,71,35.1,17.9,4,,7.98,12.73,117,2150,21.9
Malaysia,11414,103.34,0.9,2.1,,0.81,7.19,,0.96,0.09,61.3,0.2,,8.6,10,2663,68,41,1194,5.8,1.98,28.9,15.6,0.8,29.2,74,21202,1.35,74.7,50.9,212,47.1,25.7,4.7,,25.28,750.48,15354,2890,25.4
Maldives,10626,,2.7,0.7,,0.74,,,,0,100,0.01,,7.6,,,23,31.3,1443,2.8,1.84,,8.6,0.54,29.5,53.2,,1.85,79.6,16.6,499,92.8,21.6,4.1,,111.47,13.57,,2550,27.65
Mali,887,,1.3,,,0.43,3.93,,0.95,0.02,95,0,,94,,583,26,33,90,8,5.79,13,8.6,0.12,16.1,58.1,,2.99,62.8,19,33,13.6,16.7,3.1,164,98.68,4.72,14,2590,28.25
Malta,33752,134.48,8.1,1.6,,0.9,7.68,,0.86,0.92,2.6,0,0,7,,10668,691,29.2,3897,5.3,1.1,33.9,28.9,0.79,42.3,68.6,,0.31,81.9,86.9,153,85.8,29.2,5.3,,190.06,960.73,404,3600,19.2
Marshall Islands,4038,,,,,0.7,,,,,0.1,,,31.8,,4160,52,,677,,4,,52.9,0.35,23.8,,,0.1,,,66,89.4,24.2,12.2,,,34.24,,,27.4
Martinique,,,,2.8,,,,,,,0.2,0,,,,,,,,,,,,,,,,,,,186,88.1,,,,,,,,
Mauritania,1678,,0,,,0.55,3.92,,0.98,0,99.9,,,72.9,7,981,76,32.6,190,5.5,4.5,,12.7,0.21,21,55.7,,2.69,68.4,29.9,53,26.6,19,2.6,,160.82,4.54,,2810,27.65
Mauritius,11169,,3.6,2.9,,0.8,8.14,,,0.32,17.3,0,,16,,2983,2007,36.8,1381,8.8,1.4,35.9,10.8,0.56,36.3,73,,0.23,74.1,39.6,218,64.6,25.4,4.8,,117.27,106.79,80,2930,22.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,5.9,,,,,,,97,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,
Mexico,9849,48.35,6.5,29.1,,0.78,6.07,21,0.73,0.89,0.01,0,0.25,14.2,12,3266,43,45.4,1066,5.3,2.1,24.1,28.9,0.69,29.3,64.7,17142,1.23,76,58.6,166,78.9,26,4.9,35.4,111.87,129.53,7521,3260,21
Micronesia,3640,,2.5,,,0.62,,,,0.95,0.1,,,29.4,,,29,40.1,414,29,3.01,,,0.33,,51.9,,0.63,63,,127,,25.5,12.5,,,,,,
Moldova,2957,114.01,15.2,4.1,,0.75,5.78,,0.72,0.95,0.4,,0.01,14.4,14,1895,70,25.7,480,12.2,1.27,24.5,18.9,,37.7,59.1,,-0.24,73.3,22.7,182,95.8,25.8,6.7,,155.18,51.83,,2850,9.45
Monaco,190532,220.35,,0,,,,,,0.83,0.8,,,3.1,,24092,240,,2983,,,,,0.97,55.4,,,0.51,,,21,,30.4,1.5,,,1163.33,41,,13.55
Mongolia,4295,43.67,7.4,6.2,,0.74,6.48,,,0.01,5,0.55,,15.6,14,1892,245,32.7,519,18,2.87,38.5,20.6,0.23,29.8,55.4,7739,1.5,68.1,108.8,154,94.6,26,4.1,,139.82,44.48,285,2240,-0.7
Montenegro,8825,64.44,8,2.2,,0.83,5.77,,0.71,0.79,19.1,0,,2.3,14,2645,151,39,1711,16.2,1.75,,23.3,0.8,39.6,60.5,,0.04,75.9,,172,93.9,28.6,,,349.21,398.21,,2700,10.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,13487,,,20.3,,,,,,,0.1,,,,,,2,,,,,,,0.57,34.8,,,,,,,,,,,,,,,
Morocco,3282,,0.6,1.4,,0.69,5.04,,0.97,0.01,99,0,0.01,21.4,12,3736,46,39.5,467,7.3,2.38,23.4,26.1,0.61,29.1,62.9,4,1.26,73,20.6,238,34.1,25.5,5.4,,54.68,140.36,3677,3260,17.1
Mozambique,504,,2.4,3.5,,0.46,3.51,,0.86,0.56,17.9,0,,74.2,16,576,72,54,118,23.2,4.78,27.8,7.2,0.21,17,48.6,,2.86,58.1,5.6,63,26,17.5,6.5,246,4.79,4.71,,2070,23.8
Myanmar,1421,,4.8,2.3,,0.58,3.04,,0.97,0.06,,0.9,,44.7,7,672,17,30.7,292,3,2.14,63.3,,0.31,,53.6,284,0.9,69.1,10.7,171,58.2,20.5,2.2,93.7,31.48,4.3,3660,,13.05
Namibia,4957,,9.8,17.7,,0.65,6.52,,0.92,0.9,0.4,0,0,42.4,,,64,59.1,883,13.5,3.34,27,17.2,0.38,21.8,58.7,,2.12,64.6,34,295,56.7,29.2,8.4,,73.05,63.72,106,2360,19.95
Nauru,12351,,6,,,,,,,,0.1,0.01,,30.9,,,22,,1174,,,71,61,0.61,27,,,-0.06,,,140,,21.2,4.9,,,0,,,
Nepal,1074,,2,2.3,,0.6,5.22,,0.93,0.01,4.2,0.1,,30.8,10,1430,16,32.8,180,9.8,1.88,64.2,4.1,0.36,25.3,53.8,,1.09,70.9,10,86,20.8,17.9,5.2,,52.1,28.19,,2340,8.1
Netherlands,53053,152.94,8.7,0.6,,0.94,8.96,45,0.33,0.4,5.1,0,0.19,4,12,23315,453,28.5,5635,9.3,1.57,32.2,20.4,0.93,42.8,76.8,1070,0.29,81.8,89.3,63,,30.9,5.5,21,341.47,1785.33,16502,3000,9.25
Netherlands Antilles,,,,,,,,,,,0.2,,0,,,,,,,,,,,,,,,,,73.3,,,,,,103.22,,,3260,
New Caledonia,34942,,,,,,,,,,2.8,0.01,,,,,1,,,,1.94,,,0.81,32.9,,,,,76.6,154,90.6,,,,108,,,3150,
New Zealand,43264,153.88,10.7,0.7,,0.93,9.25,39,0.33,0.37,0.9,0.02,0.05,4.7,10,27407,90,,4024,10.3,1.72,29.6,30.8,0.9,37.2,84.4,7633,0.93,82,142.1,188,,,6.4,86,137.25,1663.25,3600,2810,10.55
Nicaragua,1913,,5.2,7.2,,0.66,3.6,,0.7,0.85,0.1,0,,16.6,13,1599,83,46.2,474,4.7,2.38,,23.7,0.27,27.3,57.7,,1.07,75,14.9,332,49.2,20.6,4.3,,85.16,6.81,27,2420,24.9
Niger,555,,0.5,4.4,,0.39,3.29,,1,0.01,98.3,,,80.4,,615,36,34.3,78,10.1,6.82,7.9,5.5,0.1,14.8,51.6,631,3.81,63.3,11.2,47,13.7,15.7,3.5,,58.92,2.45,,2390,27.15
Nigeria,2361,,13.4,34.5,,0.54,4.1,,0.96,0.49,53.5,0,0,117.2,7,1108,2,35.1,233,6.9,5.32,7.3,8.9,0.7,18.6,57.3,10752,2.58,62.6,8.6,32,21.6,19.3,,1658,7.91,28.6,1314,2710,26.8
Niue,,,7,,,,,,,,0.1,,,,,,0,,1405,,,,50,0.64,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,6093,37.2,,1.2,,0.77,5.89,,0.76,0.71,33.3,0,0,6.1,14,2293,73,34.2,1073,7.2,1.49,,22.4,0.76,39,71.1,,0.08,74.8,35.4,105,,26,3.3,,157.93,236.68,,,9.8
Northern Cyprus,,,,,,,,,,,,,,,,9012,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,0.7,0.11,,,,,,,,,,,,,32.8,,,,,,313,,,,,,,,,
Norway,74986,159.99,7.5,0.5,,0.96,9.81,48,0.22,0.77,3.2,0.01,0.01,2.4,15,,181,27,6818,11.8,1.53,43,23.1,0.96,39.5,73,313661,0.94,82.6,61.7,49,,31.9,8,7,261.34,2211.14,10204,3450,1.5
Oman,15343,57.53,0.8,0.3,,0.81,3,,1,0.07,86,0.01,,11.4,9,10143,35,,1730,4.5,2.84,9.5,27,0.77,26.2,61,217178,4.08,73.9,49.8,45,41.9,24.8,6.8,,152.28,177.25,7,,25.6
Pakistan,1187,,0.3,3.9,,0.56,4.31,,0.92,0.02,96.5,0,,67.2,7,1539,43,33.5,178,0.6,3.45,41.5,8.6,0.56,22,55,400,1.91,65.6,12.3,38,27.1,18.3,2.9,943,183.13,60.8,3811,2280,20.2
Palau,15572,,,,,0.83,,,,0.78,0.1,0.01,,17.3,10,6240,6209,,2012,,2.2,34.3,55.3,,33.9,,,1.06,,,522,84.7,26.6,7.6,,,390.91,,,27.6
Palestine,3424,,,0.5,,0.71,3.83,,,,97.5,0,,,,4833,35,33.7,,,3.56,,,,18,,,,,,,63.9,20.1,,,,77.32,114,2080,
Palestine (West Bank),,,,,,,,,,,,,2.7,19.4,,,,,,,,,,,21.9,,,,,,,,,,,,,,,
Panama,15728,125.25,7.9,9.4,,0.82,7.18,,0.88,0.92,0.7,0,0.06,14.9,12,3819,157,49.2,1857,2.9,2.44,16.9,22.7,0.57,30.1,67.2,,1.55,79.3,54.5,420,80.9,21.6,4.1,,70.29,41.42,940,2450,25.4
Papua New Guinea,2845,,1.2,,,0.56,6.1,,,0.97,0.1,0,,44.8,7,2161,111,41.9,101,3.6,3.52,,21.3,0.11,24,58.4,7013,2.01,65.3,73,62,33,21.4,,,,7.44,122,,25.25
Paraguay,5406,56.89,7.2,7.1,,0.73,6.18,,0.92,0.96,0.1,0,0.01,19.4,14,4402,54,46.2,935,6.2,2.41,29.8,20.3,0.6,29.7,61.8,,1.25,75.8,70.3,241,77.8,22.7,3.4,,75.72,14.09,1007,2660,23.55
Peru,6978,51.81,6.3,7.9,,0.78,6.53,,0.84,0.87,0.1,0,0.01,13.2,14,3344,44,42.8,767,2.7,2.23,33.9,19.7,0.49,29.1,67.8,1267,1.2,79.9,34.5,290,77.7,23.5,3.9,223,62.15,50.96,4101,2410,19.6
Philippines,3324,49.31,6.6,6.5,,0.72,6.56,,0.96,0.85,8,0,0,27.3,15,2696,27,44.4,394,2.5,2.53,35.3,6.4,0.69,24.1,63.8,193,1.51,70.4,31.1,200,90.1,25.3,2.7,424,15.66,20.98,1507,2580,25.85
Pitcairn Islands,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,15727,130.98,11.6,0.7,,0.88,6.85,43,0.75,0.94,0.02,0,0.03,4.4,13,9408,60,29.7,2015,9.3,1.42,40.8,23.1,0.92,41.9,67.8,525,-0.17,78.3,78.1,181,93,27,4.6,8,205.39,940.44,21130,3410,7.85
Portugal,23350,150.39,12.3,0.8,,0.86,7.9,33,0.72,0.84,0.4,0.01,0,3.7,16,9594,203,33.8,3242,7.2,1.42,25.3,20.8,0.74,44.6,65.3,,-0.39,81.6,91.1,111,80.5,31,4.9,3,205.04,1393.79,7868,3580,15.15
Puerto Rico,35791,,,21.1,,,,,,0.89,0.1,0,0.01,,,,164,,,,1.04,,,0.88,43.6,,,,,,278,84.5,,6.1,,,169.43,,,
Qatar,64782,105.2,2,0.4,,0.85,3.24,,0.95,0.14,77.5,0.03,,6.5,7,,83,,3166,4.7,1.85,15.6,35.1,0.91,33.7,72.6,500000,2.36,77.2,90.5,53,41,25.4,2.9,,,540.32,209,,27.15
Reunion,,,,1.8,,,,,,,4.2,0,,,,,,,,,,,,,,,,,,,118,42,,,,,,69,,
Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,
Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,
Republic of the Congo,,,,,,0.57,3.11,,0.95,,,0,,,,1843,55,,,,,,9.6,,19.5,,,,,13.3,,,,,,,12.78,,,24.55
Republika Srpska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,,,,,
Romania,12914,214.33,12.6,1.3,,0.83,6.4,,0.84,0.98,0.65,0,0.06,7,14,6513,58,36,1576,7.3,1.76,42,22.5,0.64,42.5,68.6,25469,-0.5,75.6,54.5,116,96.8,26.7,3.1,7,238.33,530.35,14984,3490,8.8
Russia,11606,87.01,11.7,8.2,4.3,0.82,3.31,58,0.34,0.62,44484,0,1,5.8,14,2371,32,37.5,1488,21.6,1.5,34.2,23.1,0.85,40.3,58.9,73292,0.01,73.2,51,325,99.2,24.9,3.7,4,163.57,559.78,115171,3320,-5.1
Rwanda,820,,9,2.6,,0.54,3.1,,0.95,0.94,4.8,,,34.3,14,,29,43.7,170,9.5,3.99,20.2,5.8,0.22,19.7,71.1,,2.36,69.1,4.4,511,24.3,20.6,3.1,,7.23,13.82,,2090,17.85
Sao Tome and Principe,1961,,6.8,3.3,,0.63,,,,,3,,,29.8,16,,67,56.3,214,2.2,4.27,6.4,12.4,0.29,19.3,54,,2.18,70.4,9.6,116,49.6,18.8,4.9,,22.58,4.74,,2660,23.75
Saint Barthelemy,,,,,,,,,,,,,,,,,,,,,,,,,45.6,,,,,,,,,,,,,,,
Saint Helena,,,,0,,,,,,,0.1,,,,,,,,,,,,,0.48,43.2,,,,,,,,,,,,,,,
Saint Kitts and Nevis,19896,,9.4,36.1,,0.78,,,,,0.3,,,15.4,,6933,20,,1556,,2.1,,22.9,0.85,36.5,,,0.91,,99.3,393,,31.3,2.6,,87.36,495.8,,2460,24.5
Saint Lucia,11611,45.66,9.9,21.4,,0.76,,,,,0.1,,,22.3,,,36,51.2,611,6.9,1.42,,19.7,0.5,36.9,68.7,,0.45,74.3,124.1,263,,33.7,3.8,,80.65,21.99,,2710,25.5
Saint Martin,,,,27.7,,,,,,,,,,,,,,,,,1.8,,,,33.3,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,,15.8,,,,,,,0.2,,,,,,,,,,,,,,48.5,,,,,,,98.5,,,,,,,,
Saint Vincent and the Grenadines,7464,46.51,8.2,36.5,,0.74,,,,,1.7,,,14.6,,2407,42,,550,1,1.87,,23.7,0.65,35.3,65.8,,0.24,73.2,79.1,369,91,21.2,5.8,,87.62,9.07,,2860,26.8
Samoa,4285,,2.5,,,0.72,,,,,0.1,,,15,,1589,51,,355,14.6,3.83,,47.3,0.34,25.6,62.2,,0.65,70.5,82.6,204,96.3,24.1,4.1,,52.55,56.09,,2890,26.7
San Marino,47313,115.27,,0,,,,,,0.92,0.1,,,1.7,14,20580,23,,4340,,1.3,,,0.6,45.2,,,0.51,,,6,,30.7,3.2,,,325.59,,,11.85
Saudi Arabia,23140,90.24,0.2,1.3,8.4,0.85,2.08,26,0.93,0.05,98.2,0,,6.6,12,9600,31,,3520,5.4,2.28,17.2,35.4,0.8,30.8,60.7,324866,1.9,74.3,44.6,207,51.4,20.4,5.6,,83.65,323.36,2387,3120,24.65
Scotland,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,
Senegal,1452,35.32,0.7,0.3,,0.51,5.67,,0.96,0.04,96.1,0,,45.3,13,649,42,40.3,146,11,4.56,14.7,8.8,0.3,19.4,56.3,,2.77,68.6,17.7,68,21.5,19.9,4.8,,16.86,24.47,,2280,27.85
Serbia,7359,77.88,11.1,1.2,,0.81,6.22,,0.54,0.91,3.1,0,0.01,5.3,14,3410,62,36.2,1485,7.9,1.52,45.9,21.5,0.7,43.4,63.9,2272,-0.34,75.9,,158,96.6,28.1,4,28.5,148.53,652.98,11897,2700,10.55
Seychelles,17382,,13.8,12.5,,0.8,,,,0.95,1.1,0,,14.2,,3957,180,46.8,1549,7.7,2.34,25.7,14,0.57,36.8,61.4,,0.5,73.3,51.1,324,71.5,25.2,4.4,,79.23,102.99,,2400,27.15
Sierra Leone,528,,5.7,1.7,,0.45,4.86,,,0.15,78.6,0,,109.2,14,666,36,35.7,257,11.3,4.17,37,8.7,0.13,19.1,47.5,,2.12,60.8,6.1,60,3.7,17.1,4.6,,7,5.36,,2120,26.05
Singapore,64103,245.5,2.5,0.2,,0.94,6.03,,0.7,0.18,15.6,0.34,0.01,2.5,10,,471,,4439,9.7,1.14,16.6,6.1,0.84,35.6,89.4,,1.4,83.2,71.1,185,84,,2.9,,,1990.27,12000,,26.45
Sint Maarten,,,,,,,,,,,,,,,,,,,,,2,,,,41.1,,,,,,153,,,,,,,,,
Slovakia,19256,101.28,11.5,1.1,,0.86,6.97,31,0.47,0.8,0.15,0,0.02,5.8,14,8410,112,25.2,2180,9.3,1.56,32.1,20.5,0.82,41.8,65,37,0.04,78.2,67.4,190,,28.1,3.9,,143.14,975.97,9400,2900,6.8
Slovenia,26062,108.47,12.6,0.5,,0.92,7.54,41,0.47,0.68,3.6,0,0,2.1,14,12153,104,24.2,3158,14,1.61,25.3,20.2,0.79,44.9,65.5,,0.07,81.3,88,53,99.3,29,4.8,18.3,235.01,1542.95,,3220,8.9
Solomon Islands,1945,,1.4,,,0.57,,,,,0.1,0,,19.7,8,916,40,,108,17.4,4.36,42.4,22.5,0.11,23.5,54.6,,1.94,65.2,9.7,77,,20.3,7.3,,11.52,19.91,,2400,25.65
Somalia,105,,0,,,,,,1,0,99.8,,,117,,,52,,,14.7,5.98,,8.3,0.02,18.5,,,2.93,56.5,,,,20.6,,1867,,0.67,,,27.05
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,
South Africa,6001,43.91,9.3,36.4,,0.71,7.05,14,0.85,0.8,1.9,0,0.43,34.5,12,3239,57,63,1129,23.5,2.38,38.1,28.3,0.55,28,58.3,35,1.2,65.3,39,248,72.1,29,6.2,36,55.75,225.1,5418,3000,17.75
South Sudan,448,,,14.9,,0.43,,,,0.61,20,,,96.2,,,,46.3,114,6.7,4.62,,6.6,0.09,18.6,,,2.72,62.8,,50,11,20.7,1,1378,,0.82,,,
Spain,29816,186.4,10,0.6,,0.9,8.12,41,0.49,0.59,2.6,0,0.07,3.1,14,15187,170,34.7,3576,5.3,1.24,37.5,23.8,0.91,43.9,65.7,57,0.03,83.2,118.6,122,94.7,32.3,4.2,6.4,164.29,1167.99,89962,3260,13.3
Sri Lanka,3940,,4.3,2.4,,0.78,6.14,,1,0.08,9.7,0.69,,7.1,12,671,68,39.8,517,12.9,2.19,28.3,5.2,0.34,33.7,56.4,,0.35,76.9,6.6,135,81,23.8,2.8,,34.98,63.5,4115,2370,26.95
State of Palestine,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,
Sudan,815,,0.5,5.1,,0.51,2.54,,0.93,0.02,97,0,,58.4,12,84,121,35.4,293,4.8,4.35,,6.6,0.3,18.3,47.7,,2.38,69.1,21,52,24.3,22.7,2.2,623,155.2,9.52,,2280,26.9
Suriname,6360,,5.1,5.4,,0.74,6.82,,,0.5,14.3,0.01,0,18,,,30,57.6,1180,25.9,2.39,,26.4,0.48,31,48.1,30465,0.87,71.5,40.3,183,76,29.3,,,48.97,29.51,47,2460,25.7
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svalbard and Jan Mayen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,0,,,7,,,,,,,,,,,,,,,34.2,,,,7.1,,,,,2290,
Sweden,52896,169,9.2,1.1,,0.95,9.26,46,0.17,0.64,8.1,0,0.1,2.6,15,,169,28.8,5828,12.4,1.7,52.7,20.6,0.96,41.1,75.2,,0.72,82.4,76.1,68,,33.5,7.7,36,341.23,2047.91,4074,3110,2.1
Switzerland,85135,188.69,11.5,0.6,,0.96,8.83,49,0.41,0.68,5.2,0,0.12,4,10,,285,32.7,8114,9.8,1.48,28.5,19.5,0.93,42.7,81.9,,0.83,83.92,72.9,80,,30.1,5.1,6,318.69,2507.62,12156,3450,5.5
Syria,1194,,0.3,0.9,,0.57,1.43,,0.89,0.1,87,,0,21.5,10,96,24,35.8,,2.1,2.77,,27.8,,23.5,,1627,0.2,72.7,21.2,60,39,26.3,5.1,3753,111.43,16.23,1138,3040,17.75
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,
Taiwan,28371,163.85,,0.8,,,8.94,,0.45,,0.3,0.21,0,,14,9702,28,,,,,,,0.92,42.3,77.3,8,0.28,,,241,,30.4,,,41.72,1634.58,28084,,
Tajikistan,894,,3.3,1.6,,0.67,1.94,,0.85,0.01,97.9,0,,33.8,14,315,38,34,250,5.3,3.56,,14.2,0.22,25.3,55.6,20,2.06,69.5,8.7,121,98.1,22.5,5.2,,54.54,6.81,132,2190,2
Tanzania,1084,,9.4,6.5,,0.53,5.1,,0.89,0.61,35.2,0,,50.3,7,209,34,40.5,112,8.2,4.83,23.6,8.4,,18.2,60.2,,3.06,67.3,10,59,43.5,18.9,3.4,,40.29,10.71,172,2020,22.35
Thailand,7785,206.81,8.3,2.6,,0.78,6.04,,0.97,0.01,5.4,0.93,0,9,7,3316,33,36.4,723,8,1.51,31.8,10,0.53,39,68.3,3667,0.22,77.7,27.9,449,78.7,21,4.1,0.4,29.35,181.72,6750,2540,26.3
The Bahamas,,,,,,,,,,,,,,,,10920,,,,,,,,,32.8,62.9,,,,,,,,,,,,,,
The Gambia,,,,,,,,,,,,,,,,260,,,,,,,,,21.8,52.4,,,,5.2,,,,,,,,,,
